StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,Geolocation
AL,Alabama,Autauga,1001,55601,POINT (-86.64301145 32.5350198)
AL,Alabama,Baldwin,1003,218022,POINT (-87.72275422 30.72811673)
AL,Alabama,Barbour,1005,24881,POINT (-85.39330307 31.86925212)
AL,Alabama,Bibb,1007,22400,POINT (-87.12653219 32.99854412)
AL,Alabama,Blount,1009,57840,POINT (-86.56784586 33.98070621)
AL,Alabama,Bullock,1011,10138,POINT (-85.71563262 32.10044482)
AL,Alabama,Butler,1013,19680,POINT (-86.68030416 31.75259734)
AL,Alabama,Calhoun,1015,114277,POINT (-85.82579874 33.77170768)
AL,Alabama,Chambers,1017,33615,POINT (-85.39238495 32.91401536)
AL,Alabama,Cherokee,1019,26032,POINT (-85.60387093 34.17572884)